outer_block_id,trade_date,prediction_time,contract_id
outer-2017-2018,2016-12-29T00:00:00+00:00,2016-12-30T14:50:14.329502576+00:00,NGG7@2017-01-27
outer-2017-2018,2017-01-24T00:00:00+00:00,2017-01-25T14:49:27.263814922+00:00,NGH7@2017-02-24
outer-2017-2018,2017-02-13T00:00:00+00:00,2017-02-14T14:49:29.250496882+00:00,NGH7@2017-02-24
outer-2017-2018,2017-03-07T00:00:00+00:00,2017-03-08T14:49:23.130408594+00:00,NGJ7@2017-03-29
outer-2017-2018,2017-03-29T00:00:00+00:00,2017-03-30T13:52:19.238774064+00:00,NGK7@2017-04-26
outer-2017-2018,2017-04-19T00:00:00+00:00,2017-04-20T13:48:54.386580250+00:00,NGK7@2017-04-26
outer-2017-2018,2017-05-11T00:00:00+00:00,2017-05-12T13:46:23.409223245+00:00,NGM7@2017-05-26
outer-2017-2018,2017-06-05T00:00:00+00:00,2017-06-06T13:49:16.538428448+00:00,NGN7@2017-06-28
outer-2017-2018,2017-06-27T00:00:00+00:00,2017-06-28T13:52:57.206181429+00:00,NGQ7@2017-07-27
outer-2017-2018,2017-07-18T00:00:00+00:00,2017-07-19T13:53:49.582891993+00:00,NGQ7@2017-07-27
outer-2017-2018,2017-08-08T00:00:00+00:00,2017-08-09T13:48:43.774228632+00:00,NGU7@2017-08-29
outer-2017-2018,2017-09-06T00:00:00+00:00,2017-09-07T13:48:29.735066436+00:00,NGV7@2017-09-27
outer-2017-2018,2017-09-28T00:00:00+00:00,2017-09-29T13:53:45.251470074+00:00,NGX7@2017-10-27
outer-2017-2018,2017-10-18T00:00:00+00:00,2017-10-19T14:19:13.636238127+00:00,NGX7@2017-10-27
outer-2017-2018,2017-11-09T00:00:00+00:00,2017-11-10T14:18:37.811490006+00:00,NGZ7@2017-11-28
outer-2017-2018,2017-12-07T00:00:00+00:00,2017-12-08T14:19:11.824613273+00:00,NGF8@2017-12-27
outer-2017-2018,2018-01-09T00:00:00+00:00,2018-01-10T14:19:07.256630145+00:00,NGG8@2018-01-29
