config_id,year,net_pnl_usd,transaction_cost_usd,max_drawdown_fraction,execution_side_count,signal_abstention_sessions,risk_shutdown_sessions,kill_triggered,continuous_net_pnl_usd,continuous_max_drawdown_fraction,complexity
s-none__l-none__p-none__u-none,2014,-1290.0,90.0,0.04503458617520437,6.0,16,284,True,40430.0,0.08670911800569028,0
s-none__l-none__p-none__u-half_high,2014,-1290.0,90.0,0.04503458617520437,6.0,16,284,True,40430.0,0.08670911800569028,1
s-none__l-none__p-half__u-none,2014,-1290.0,90.0,0.04503458617520437,6.0,16,284,True,40430.0,0.08670911800569028,1
s-none__l-none__p-half__u-half_high,2014,-1290.0,90.0,0.04503458617520437,6.0,16,284,True,40430.0,0.08670911800569028,2
s-none__l-half__p-none__u-none,2014,-3545.0,90.0,0.06458808126848664,6.0,16,284,True,34285.0,0.10226446200843718,1
s-none__l-half__p-none__u-half_high,2014,-3545.0,90.0,0.06458808126848664,6.0,16,284,True,34285.0,0.10226446200843718,2
s-none__l-half__p-half__u-none,2014,-3545.0,90.0,0.06458808126848664,6.0,16,284,True,34285.0,0.10226446200843718,2
s-none__l-half__p-half__u-half_high,2014,-3545.0,90.0,0.06458808126848664,6.0,16,284,True,34285.0,0.10226446200843718,3
s-none__l-veto__p-none__u-none,2014,-5800.0,90.0,0.08645686854482859,6.0,65,284,True,28140.0,0.14091063375842505,1
s-none__l-veto__p-none__u-half_high,2014,-5800.0,90.0,0.08645686854482859,6.0,65,284,True,28140.0,0.14091063375842505,2
s-none__l-veto__p-half__u-none,2014,-5800.0,90.0,0.08645686854482859,6.0,65,284,True,28140.0,0.14091063375842505,2
s-none__l-veto__p-half__u-half_high,2014,-5800.0,90.0,0.08645686854482859,6.0,65,284,True,28140.0,0.14091063375842505,3
s-half__l-none__p-none__u-none,2014,-5170.0,135.0,0.0829263575262318,9.0,16,280,True,30335.0,0.08278129684251245,1
s-half__l-none__p-none__u-half_high,2014,-5170.0,135.0,0.0829263575262318,9.0,16,280,True,30335.0,0.08278129684251245,2
s-half__l-none__p-half__u-none,2014,-5170.0,135.0,0.0829263575262318,9.0,16,280,True,30335.0,0.08278129684251245,2
s-half__l-none__p-half__u-half_high,2014,-5170.0,135.0,0.0829263575262318,9.0,16,280,True,30335.0,0.08278129684251245,3
s-half__l-half__p-none__u-none,2014,-7425.0,135.0,0.10312923851966672,9.0,16,280,True,24190.0,0.1029839178453788,2
s-half__l-half__p-none__u-half_high,2014,-7425.0,135.0,0.10312923851966672,9.0,16,280,True,24190.0,0.1029839178453788,3
s-half__l-half__p-half__u-none,2014,-7425.0,135.0,0.10312923851966672,9.0,16,280,True,24190.0,0.1029839178453788,3
s-half__l-half__p-half__u-half_high,2014,-7425.0,135.0,0.10312923851966672,9.0,16,280,True,24190.0,0.1029839178453788,4
s-half__l-veto__p-none__u-none,2014,-9680.0,135.0,0.12497577988761868,9.0,65,280,True,18045.0,0.12483045921333075,2
s-half__l-veto__p-none__u-half_high,2014,-9680.0,135.0,0.12497577988761868,9.0,65,280,True,18045.0,0.12483045921333075,3
s-half__l-veto__p-half__u-none,2014,-9680.0,135.0,0.12497577988761868,9.0,65,280,True,18045.0,0.12483045921333075,3
s-half__l-veto__p-half__u-half_high,2014,-9680.0,135.0,0.12497577988761868,9.0,65,280,True,18045.0,0.12483045921333075,4
s-veto__l-none__p-none__u-none,2014,-5150.0,150.0,0.08308763110831843,10.0,174,280,True,20240.0,0.08294262651650636,1
s-veto__l-none__p-none__u-half_high,2014,-5150.0,150.0,0.08308763110831843,10.0,174,280,True,20240.0,0.08294262651650636,2
s-veto__l-none__p-half__u-none,2014,-5150.0,150.0,0.08308763110831843,10.0,174,280,True,20240.0,0.08294262651650636,2
s-veto__l-none__p-half__u-half_high,2014,-5150.0,150.0,0.08308763110831843,10.0,174,280,True,20240.0,0.08294262651650636,3
s-veto__l-half__p-none__u-none,2014,-7405.0,150.0,0.10384708444229374,10.0,174,280,True,14095.0,0.10370191144447133,2
s-veto__l-half__p-none__u-half_high,2014,-7405.0,150.0,0.10384708444229374,10.0,174,280,True,14095.0,0.10370191144447133,3
s-veto__l-half__p-half__u-none,2014,-7405.0,150.0,0.10384708444229374,10.0,174,280,True,14095.0,0.10370191144447133,3
s-veto__l-half__p-half__u-half_high,2014,-7405.0,150.0,0.10384708444229374,10.0,174,280,True,14095.0,0.10370191144447133,4
s-veto__l-veto__p-none__u-none,2014,-9660.0,150.0,0.12567142511492863,10.0,223,280,True,7950.0,0.12552625211710622,2
s-veto__l-veto__p-none__u-half_high,2014,-9660.0,150.0,0.12567142511492863,10.0,223,280,True,7950.0,0.12552625211710622,3
s-veto__l-veto__p-half__u-none,2014,-9660.0,150.0,0.12567142511492863,10.0,223,280,True,7950.0,0.12552625211710622,3
s-veto__l-veto__p-half__u-half_high,2014,-9660.0,150.0,0.12567142511492863,10.0,223,280,True,7950.0,0.12552625211710622,4
s-none__l-none__p-none__u-none,2015,-2360.0,30.0,0.0236,2.0,22,309,True,-1460.0,0.08163468726638425,0
s-none__l-none__p-none__u-half_high,2015,-2360.0,30.0,0.0236,2.0,22,309,True,80.0,0.060419733156070465,1
s-none__l-none__p-half__u-none,2015,-2360.0,30.0,0.0236,2.0,22,309,True,-1460.0,0.08163468726638425,1
s-none__l-none__p-half__u-half_high,2015,-2360.0,30.0,0.0236,2.0,22,309,True,80.0,0.060419733156070465,2
s-none__l-half__p-none__u-none,2015,-2360.0,30.0,0.0236,2.0,22,309,True,-1845.0,0.08163468726638425,1
s-none__l-half__p-none__u-half_high,2015,-2360.0,30.0,0.0236,2.0,22,309,True,415.0,0.06022813328284741,2
s-none__l-half__p-half__u-none,2015,-2360.0,30.0,0.0236,2.0,22,309,True,-1845.0,0.08163468726638425,2
s-none__l-half__p-half__u-half_high,2015,-2360.0,30.0,0.0236,2.0,22,309,True,415.0,0.06022813328284741,3
s-none__l-veto__p-none__u-none,2015,-2360.0,30.0,0.0236,2.0,33,309,True,-2230.0,0.08163468726638425,1
s-none__l-veto__p-none__u-half_high,2015,-2360.0,30.0,0.0236,2.0,33,309,True,30.0,0.06044843475369341,2
s-none__l-veto__p-half__u-none,2015,-2360.0,30.0,0.0236,2.0,33,309,True,-2230.0,0.08163468726638425,2
s-none__l-veto__p-half__u-half_high,2015,-2360.0,30.0,0.0236,2.0,33,309,True,30.0,0.06044843475369341,3
s-half__l-none__p-none__u-none,2015,5.0,1500.0,0.06745761917043776,100.0,22,0,False,5.0,0.06745761917043776,1
s-half__l-none__p-none__u-half_high,2015,-65.0,1065.0,0.05443505179187998,71.0,22,0,False,-65.0,0.05443505179187998,2
s-half__l-none__p-half__u-none,2015,5.0,1500.0,0.06745761917043776,100.0,22,0,False,5.0,0.06745761917043776,2
s-half__l-none__p-half__u-half_high,2015,-65.0,1065.0,0.05443505179187998,71.0,22,0,False,-65.0,0.05443505179187998,3
s-half__l-half__p-none__u-none,2015,-380.0,1470.0,0.0677020825979527,98.0,22,0,False,-380.0,0.0677020825979527,2
s-half__l-half__p-none__u-half_high,2015,270.0,1065.0,0.054261909848323006,71.0,22,0,False,270.0,0.054261909848323006,3
s-half__l-half__p-half__u-none,2015,-380.0,1470.0,0.0677020825979527,98.0,22,0,False,-380.0,0.0677020825979527,3
s-half__l-half__p-half__u-half_high,2015,270.0,1065.0,0.054261909848323006,71.0,22,0,False,270.0,0.054261909848323006,4
s-half__l-veto__p-none__u-none,2015,-765.0,1440.0,0.06794832431921778,96.0,33,0,False,-765.0,0.06794832431921778,2
s-half__l-veto__p-none__u-half_high,2015,-115.0,1035.0,0.05446098868374032,69.0,33,0,False,-115.0,0.05446098868374032,3
s-half__l-veto__p-half__u-none,2015,-765.0,1440.0,0.06794832431921778,96.0,33,0,False,-765.0,0.06794832431921778,3
s-half__l-veto__p-half__u-half_high,2015,-115.0,1035.0,0.05446098868374032,69.0,33,0,False,-115.0,0.05446098868374032,4
s-veto__l-none__p-none__u-none,2015,1470.0,1590.0,0.06741418133357842,106.0,150,0,False,1470.0,0.06741418133357842,1
s-veto__l-none__p-none__u-half_high,2015,1400.0,1155.0,0.0538396939442008,77.0,150,0,False,1400.0,0.0538396939442008,2
s-veto__l-none__p-half__u-none,2015,1470.0,1590.0,0.06741418133357842,106.0,150,0,False,1470.0,0.06741418133357842,2
s-veto__l-none__p-half__u-half_high,2015,1400.0,1155.0,0.0538396939442008,77.0,150,0,False,1400.0,0.0538396939442008,3
s-veto__l-half__p-none__u-none,2015,1085.0,1560.0,0.06765356945213061,104.0,150,0,False,1085.0,0.06765356945213061,2
s-veto__l-half__p-none__u-half_high,2015,1735.0,1155.0,0.05367192223617506,77.0,150,0,False,1735.0,0.05367192223617506,3
s-veto__l-half__p-half__u-none,2015,1085.0,1560.0,0.06765356945213061,104.0,150,0,False,1085.0,0.06765356945213061,3
s-veto__l-half__p-half__u-half_high,2015,1735.0,1155.0,0.05367192223617506,77.0,150,0,False,1735.0,0.05367192223617506,4
s-veto__l-veto__p-none__u-none,2015,700.0,1530.0,0.06789466376637202,102.0,161,0,False,700.0,0.06789466376637202,2
s-veto__l-veto__p-none__u-half_high,2015,1350.0,1125.0,0.05386482449589246,75.0,161,0,False,1350.0,0.05386482449589246,3
s-veto__l-veto__p-half__u-none,2015,700.0,1530.0,0.06789466376637202,102.0,161,0,False,700.0,0.06789466376637202,3
s-veto__l-veto__p-half__u-half_high,2015,1350.0,1125.0,0.05386482449589246,75.0,161,0,False,1350.0,0.05386482449589246,4
s-none__l-none__p-none__u-none,2016,9050.0,960.0,0.062386517063177986,64.0,25,44,True,5110.0,0.062386517063177986,0
s-none__l-none__p-none__u-half_high,2016,6140.0,1185.0,0.062193904236603106,79.0,25,44,True,2505.0,0.06378111273792093,1
s-none__l-none__p-half__u-none,2016,9050.0,960.0,0.062386517063177986,64.0,25,44,True,5110.0,0.062386517063177986,1
s-none__l-none__p-half__u-half_high,2016,6140.0,1185.0,0.062193904236603106,79.0,25,44,True,2505.0,0.06378111273792093,2
s-none__l-half__p-none__u-none,2016,9230.0,960.0,0.06071046138088365,64.0,25,44,True,4145.0,0.06825617353112536,1
s-none__l-half__p-none__u-half_high,2016,6320.0,1185.0,0.060482145404403026,79.0,25,44,True,1555.0,0.06713911002715016,2
s-none__l-half__p-half__u-none,2016,9230.0,960.0,0.06071046138088365,64.0,25,44,True,4145.0,0.06825617353112536,2
s-none__l-half__p-half__u-half_high,2016,6320.0,1185.0,0.060482145404403026,79.0,25,44,True,1555.0,0.06713911002715016,3
s-none__l-veto__p-none__u-none,2016,9410.0,960.0,0.059034405698589316,64.0,29,44,True,3180.0,0.07839276925142065,1
s-none__l-veto__p-none__u-half_high,2016,6500.0,1185.0,0.06024496771743259,79.0,29,44,True,590.0,0.07754858271695686,2
s-none__l-veto__p-half__u-none,2016,9410.0,960.0,0.059034405698589316,64.0,29,44,True,3180.0,0.07839276925142065,2
s-none__l-veto__p-half__u-half_high,2016,6500.0,1185.0,0.06024496771743259,79.0,29,44,True,590.0,0.07754858271695686,3
s-half__l-none__p-none__u-none,2016,8515.0,1185.0,0.04494434353313772,79.0,25,44,True,4575.0,0.06259541984732825,1
s-half__l-none__p-none__u-half_high,2016,6420.0,1215.0,0.045135263407688656,81.0,25,44,True,2785.0,0.06361810879883169,2
s-half__l-none__p-half__u-none,2016,8515.0,1185.0,0.04494434353313772,79.0,25,44,True,4575.0,0.06259541984732825,2
